"kodjaz","typvaz","akrcis1","kodcis1","chodnota1","text1","akrcis2","kodcis2","chodnota2","text2"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0100","Praha","NUTS3-2004",108,"CZ010","Hlavní město Praha"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0201","Benešov","NUTS3-2004",108,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0202","Beroun","NUTS3-2004",108,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0203","Kladno","NUTS3-2004",108,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0204","Kolín","NUTS3-2004",108,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0205","Kutná Hora","NUTS3-2004",108,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0206","Mělník","NUTS3-2004",108,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0207","Mladá Boleslav","NUTS3-2004",108,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0208","Nymburk","NUTS3-2004",108,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0209","Praha-východ","NUTS3-2004",108,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ020A","Praha-západ","NUTS3-2004",108,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ020B","Příbram","NUTS3-2004",108,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ020C","Rakovník","NUTS3-2004",108,"CZ020","Středočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0311","České Budějovice","NUTS3-2004",108,"CZ031","Jihočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0312","Český Krumlov","NUTS3-2004",108,"CZ031","Jihočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0313","Jindřichův Hradec","NUTS3-2004",108,"CZ031","Jihočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0314","Písek","NUTS3-2004",108,"CZ031","Jihočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0315","Prachatice","NUTS3-2004",108,"CZ031","Jihočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0316","Strakonice","NUTS3-2004",108,"CZ031","Jihočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0317","Tábor","NUTS3-2004",108,"CZ031","Jihočeský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0321","Domažlice","NUTS3-2004",108,"CZ032","Plzeňský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0322","Klatovy","NUTS3-2004",108,"CZ032","Plzeňský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0323","Plzeň-město","NUTS3-2004",108,"CZ032","Plzeňský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0324","Plzeň-jih","NUTS3-2004",108,"CZ032","Plzeňský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0325","Plzeň-sever","NUTS3-2004",108,"CZ032","Plzeňský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0326","Rokycany","NUTS3-2004",108,"CZ032","Plzeňský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0327","Tachov","NUTS3-2004",108,"CZ032","Plzeňský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0411","Cheb","NUTS3-2004",108,"CZ041","Karlovarský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0412","Karlovy Vary","NUTS3-2004",108,"CZ041","Karlovarský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0413","Sokolov","NUTS3-2004",108,"CZ041","Karlovarský kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0421","Děčín","NUTS3-2004",108,"CZ042","Ústecký kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0422","Chomutov","NUTS3-2004",108,"CZ042","Ústecký kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0423","Litoměřice","NUTS3-2004",108,"CZ042","Ústecký kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0424","Louny","NUTS3-2004",108,"CZ042","Ústecký kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0425","Most","NUTS3-2004",108,"CZ042","Ústecký kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0426","Teplice","NUTS3-2004",108,"CZ042","Ústecký kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0427","Ústí nad Labem","NUTS3-2004",108,"CZ042","Ústecký kraj"
"CS","Hierarchie číselníků","OKRES_LAU",109,"CZ0511","Česká Lípa","NUTS3-2004",108,"CZ051","Liberecký kraj"
